Brand,Price,Processor_Brand,RAM_Expandable,RAM_Capacity,RAM_TYPE(DDR),Display_type,GPU_Brand,HDD(GB),Processor_Category,Display_Tier,GPU_Tier,Processor_Speed(Ghz),SSD(GB)
MSI,237965.0,Intel,Yes,8,4,LED,NVIDIA,1024,Intel I7,Small,Mid-end,3.0,0
Acer,80146.5,AMD,Yes,4,4,LCD,AMD,0,AMD Athlon,Small,Entry-level,2.5,256
ASUS,206465.0,AMD,Yes,16,4,LCD,AMD,0,AMD Ryzen 7,Large,Entry-level,4.0,512
Acer,423430.0,Intel,Yes,16,5,LCD,NVIDIA,0,Intel I7,Large,Mid-end,3.0,512
HP,259875.0,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Low-end,4.5,512
HP,238700.0,Intel,Yes,8,4,LED,NVIDIA,1024,Intel I5,Small,Mid-end,3.0,256
Other,55965.0,Intel,Yes,4,LP4,LCD,Intel,0,Intel Celeron,Small,Entry-level,3.0,128
ASUS,139965.0,Intel,No,8,4,LCD,Intel,1024,Intel I3,Small,Entry-level,1.0,0
ASUS,199846.5,Intel,Yes,8,4,LED,Intel,1024,Intel I5,Small,Low-end,4.0,256
MSI,150465.0,Intel,No,16,4,LCD,Intel,0,Intel I5,Small,Low-end,3.5,512
HP,209965.0,Intel,No,8,4,LED,Intel,0,Intel I5,Small,Low-end,2.5,512
Lenovo,169438.5,Intel,Yes,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,3.5,512
ASUS,260750.0,Intel,No,16,4,LCD,NVIDIA,0,Intel I5,Large,Mid-end,3.5,512
